ASX listed companies as at Mon Mar 09 08:45:10 AEDT 2026

Company name,ASX code,GICS industry group
"EROAD LIMITED","ERD","Technology Hardware & Equipment"
"ESTRELLA RESOURCES LIMITED","ESR","Materials"
"ETHERSTACK PLC","ESK","Software & Services"
"EUREKA GROUP HOLDINGS LIMITED","EGH","Real Estate Management & Development"
"EURO MANGANESE INC","EMN","Materials"
"EUROPEAN LITHIUM LIMITED","EUR","Materials"
"EUROPEAN METALS HOLDINGS LIMITED","EMH","Materials"
"EUROPEAN RESOURCES LIMITED","ERE","Materials"
"EUROZ HARTLEYS GROUP LIMITED","EZL","Financial Services"
"EV RESOURCES LTD","EVR","Materials"
"EVE HEALTH GROUP LIMITED.","EVE","Financial Services"
"EVEREST METALS CORPORATION LTD","EMC","Materials"
"EVERGOLD MINERALS LIMITED","EG1","Materials"
"EVERLAST MINERALS LTD.","EV8","Materials"
"EVION GROUP NL","EVG","Materials"
"EVOLUTION ENERGY MINERALS LIMITED","EV1","Materials"
"EVOLUTION MINING LIMITED","EVN","Materials"
"EVT LIMITED","EVT","Media & Entertainment"
"EVZ LIMITED","EVZ","Capital Goods"
"EXCELSIOR CAPITAL LTD","ECL","Capital Goods"
"EXCITE TECHNOLOGY SERVICES LTD","EXT","Software & Services"
"EXPERIENCE CO LIMITED","EXP","Consumer Services"
"EXULTANT MINING LIMITED","10X","Materials"
"EZZ LIFE SCIENCE HOLDINGS LIMITED","EZZ","Consumer Discretionary Distribution & Retail"
"FALCON METALS LTD","FAL","Materials"
"FAR EAST GOLD LTD","FEG","Materials"
"FAR LIMITED","FAR","Energy"
"FAR NORTHERN RESOURCES LIMITED","FNR","Materials"
"FARM PRIDE FOODS LIMITED","FRM","Food, Beverage & Tobacco"
"FAT PROPHETS GLOBAL CONTRARIAN FUND LTD","FPC","Not Applic"
"FATFISH GROUP LIMITED","FFG","Financial Services"
"FBR LTD","FBR","Capital Goods"
"FELIX GOLD LIMITED","FXG","Materials"
"FELIX GROUP HOLDINGS LTD","FLX","Software & Services"
"FENIX RESOURCES LTD","FEX","Materials"
"FFI HOLDINGS LIMITED","FFI","Food, Beverage & Tobacco"
"FIDUCIAN GROUP LIMITED","FID","Financial Services"
"FIN RESOURCES LIMITED","FIN","Materials"
"FINBAR GROUP LIMITED","FRI","Real Estate Management & Development"
"FINDER ENERGY HOLDINGS LIMITED","FDR","Energy"
"FINDI LIMITED","FND","Software & Services"
"FINEOS CORPORATION HOLDINGS PLC","FCL","Software & Services"
"FINEXIA FINANCIAL GROUP LIMITED","FNX","Financial Services"
"FIREBIRD METALS LIMITED","FRB","Materials"
"FIREBRICK PHARMA LIMITED","FRE","Pharmaceuticals, Biotechnology & Life Sciences"
"FIREFLY METALS LTD","FFM","Materials"
"FIRST AU LIMITED","FAU","Materials"
"FIRST GRAPHENE LIMITED","FGR","Materials"
"FIRST LITHIUM LIMITED","FL1","Materials"
"FIRSTMAC MORTGAGE FUNDING TRUST NO. 4 SERIES 1-2020","FM3","Not Applic"
"FIRSTMAC MORTGAGE FUNDING TRUST NO.4 SERIES 2-2019","FM2","Not Applic"
"FIRSTMAC MORTGAGE FUNDING TRUST NO.4 SERIES 2-2020","FM5","Not Applic"
"FIRSTMAC MORTGAGE FUNDING TRUST NO.4 SERIES 4-2019","FM1","Not Applic"
"FIRSTWAVE CLOUD TECHNOLOGY LIMITED","FCT","Software & Services"
"FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED","FPH","Health Care Equipment & Services"
"FITZROY RIVER CORPORATION LTD","FZR","Energy"
"FLAGSHIP INVESTMENTS LIMITED","FSI","Not Applic"
"FLAGSHIP MINERALS LIMITED","FLG","Materials"
"FLEETPARTNERS GROUP LIMITED","FPR","Financial Services"
"FLEETWOOD LIMITED","FWD","Consumer Durables & Apparel"
"FLETCHER BUILDING LIMITED","FBU","Capital Goods"
"FLEXIROAM LIMITED","FRX","Telecommunication Services"
"FLIGHT CENTRE TRAVEL GROUP LIMITED","FLT","Consumer Services"
"FLUENCE CORPORATION LIMITED","FLC","Utilities"
"FLYNN GOLD LIMITED","FG1","Materials"
"FMR RESOURCES LIMITED","FMR","Media & Entertainment"
"FOCUS MINERALS LTD","FML","Materials"
"FORESTA GROUP HOLDINGS LIMITED","FGH","Materials"
"FORRESTANIA RESOURCES LIMITED","FRS","Materials"
"FORTE ENERGY LIMITED","FEL","Energy"
"FORTESCUE LTD","FMG","Materials"
"FORTIFAI LTD","FTI","Media & Entertainment"
"FORTUNA METALS LTD","FUN","Materials"
"FOS CAPITAL LTD","FOS","Capital Goods"
"FREEDOM CARE GROUP HOLDINGS LIMITED","FCG","Health Care Equipment & Services"
"FREEHILL MINING LIMITED.","FHS","Materials"
"FREELANCER LIMITED","FLN","Commercial & Professional Services"
"FREIGHTWAYS GROUP LIMITED","FRW","Transportation"
"FRONTIER DIGITAL VENTURES LIMITED","FDV","Media & Entertainment"
"FRONTIER ENERGY LIMITED","FHE","Materials"
"FSA GROUP LIMITED","FSA","Financial Services"
"FULCRUM LITHIUM LTD","FUL","Materials"
"FUTURE GENERATION AUSTRALIA LIMITED","FGX","Not Applic"
"FUTURE GENERATION GLOBAL LIMITED","FGG","Not Applic"
"FUTURE METALS NL","FME","Energy"
"G11 RESOURCES LIMITED","G11","Materials"
"G50 CORP LIMITED","G50","Materials"
"G8 EDUCATION LIMITED","GEM","Consumer Services"
"GALAN LITHIUM LIMITED","GLN","Materials"
"GALE PACIFIC LIMITED","GAP","Consumer Durables & Apparel"
"GALILEE ENERGY LIMITED","GLL","Energy"
"GALILEO MINING LTD","GAL","Materials"
"GARDA PROPERTY GROUP","GDF","Equity Real Estate Investment Trusts (REITs)"
"GATEWAY MINING LIMITED","GML","Materials"
"GBM RESOURCES LIMITED.","GBM","Materials"
"GCM CORPORATION LIMITED","GCM","Materials"
"GDI PROPERTY GROUP","GDI","Equity Real Estate Investment Trusts (REITs)"
"GEMLIFE COMMUNITIES GROUP","GLF","Real Estate Management & Development"
"GENERATION DEVELOPMENT GROUP LIMITED","GDG","Insurance"
"GENESIS ENERGY LIMITED","GNE","Utilities"
"GENESIS MINERALS LIMITED","GMD","Materials"
"GENESIS RESOURCES LIMITED","GES","Materials"
"GENETIC SIGNATURES LIMITED","GSS","Pharmaceuticals, Biotechnology & Life Sciences"
"GENETIC TECHNOLOGIES LIMITED","GTG","Pharmaceuticals, Biotechnology & Life Sciences"
"GENMIN LIMITED","GEN","Materials"
"GENTRACK GROUP LIMITED","GTK","Software & Services"
"GENUSPLUS GROUP LTD","GNP","Capital Goods"
"GEOPACIFIC RESOURCES LTD","GPR","Materials"
"GIBB RIVER DIAMONDS LIMITED","GIB","Materials"
"GLENNON SMALL COMPANIES LIMITED","GC1","Not Applic"
"GLG CORP LTD","GLE","Consumer Durables & Apparel"
"GLOBAL HEALTH LIMITED","GLH","Health Care Equipment & Services"
"GLOBAL LITHIUM RESOURCES LIMITED","GL1","Materials"
"GLOBAL MASTERS FUND LIMITED","GFL","Not Applic"
"GLOBE INTERNATIONAL LIMITED","GLB","Consumer Durables & Apparel"
"GLOBE METALS & MINING LIMITED","GBE","Materials"
"GODOLPHIN RESOURCES LIMITED","GRL","Materials"
"GOLD HYDROGEN LIMITED","GHY","Energy"
"GOLD MOUNTAIN LIMITED","GMN","Materials"
"GOLDARC RESOURCES LIMITED","GA8","Materials"
"GOLDEN CROSS RESOURCES LTD","GCR","Materials"
"GOLDEN DEEPS LIMITED.","GED","Materials"
"GOLDEN DRAGON MINING LTD","GDR","Materials"
"GOLDEN GLOBE RESOURCES LTD.","GGR","Materials"
"GOLDEN HORSE MINERALS LIMITED","GHM","Materials"
"GOLDEN MILE RESOURCES LTD","G88","Materials"
"GOLDEN STATE MINING LIMITED","GSM","Materials"
"GOODMAN GROUP","GMG","Equity Real Estate Investment Trusts (REITs)"
"GORILLA GOLD MINES LTD","GG8","Materials"
"GOWING BROS LIMITED","GOW","Financial Services"
"GPT GROUP","GPT","Equity Real Estate Investment Trusts (REITs)"
"GQG PARTNERS INC.","GQG","Financial Services"
"GR ENGINEERING SERVICES LIMITED","GNG","Materials"
"GRAINCORP LIMITED","GNC","Consumer Staples Distribution & Retail"
"GRAND GULF ENERGY LIMITED","GGE","Energy"
"GRANGE RESOURCES LIMITED.","GRR","Materials"
"GRATIFII LIMITED","GTI","Software & Services"
"GREAT BOULDER RESOURCES LIMITED","GBR","Materials"
"GREAT DIRT RESOURCES LTD","GR8","Materials"
"GREAT DIVIDE MINING LTD","GDM","Materials"
"GREAT NORTHERN MINERALS LIMITED","GNM","Materials"
"GREAT SOUTHERN MINING LIMITED","GSN","Materials"
"GREAT WESTERN EXPLORATION LIMITED.","GTE","Materials"
"GREATLAND RESOURCES LIMITED","GGP","Materials"
"GREEN & GOLD MINERALS LIMITED","GG1","Materials"
"GREEN TECHNOLOGY METALS LIMITED","GT1","Materials"
"GREEN360 TECHNOLOGIES LIMITED","GT3","Materials"
"GREENHY2 LIMITED","H2G","Commercial & Professional Services"
"GREENTECH METALS LIMITED","GRE","Materials"
"GREENVALE ENERGY LTD","GRV","Energy"
"GREENWING RESOURCES LTD","GW1","Materials"
"GREENX METALS LIMITED","GRX","Materials"
"GROUP 6 METALS LIMITED","G6M","Materials"
"GROUP ONE CAPITAL LIMITED","G1C","Real Estate Management & Development"
"GROWTHPOINT PROPERTIES AUSTRALIA","GOZ","Equity Real Estate Investment Trusts (REITs)"
"GRYPHON CAPITAL INCOME TRUST","GCI","Not Applic"
"GTN LIMITED","GTN","Media & Entertainment"
"GULLEWA LIMITED","GUL","Materials"
"GUMTREE AUSTRALIA MARKETS LIMITED","GUM","Media & Entertainment"
"GUZMAN Y GOMEZ LIMITED","GYG","Consumer Services"
"GWA GROUP LIMITED.","GWA","Capital Goods"
"GWR GROUP LIMITED","GWR","Materials"
"H&G HIGH CONVICTION LIMITED","HCF","Not Applic"
"H3 ENERGY LIMITED","H3E","Energy"
"HALO TECHNOLOGIES HOLDINGS LTD","HAL","Financial Services"
"HAMELIN GOLD LIMITED","HMG","Materials"
"HAMMER METALS LIMITED","HMX","Materials"
"HANSEN TECHNOLOGIES LIMITED","HSN","Software & Services"
"HARANGA RESOURCES LIMITED.","HAR","Materials"
"HARMONEY CORP LIMITED","HMY","Financial Services"
"HARRIS TECHNOLOGY GROUP LIMITED","HT8","Transportation"
"HARTSHEAD RESOURCES NL","HHR","Energy"
"HARVEST TECHNOLOGY GROUP LTD","HTG","Technology Hardware & Equipment"
"HARVEY NORMAN HOLDINGS LIMITED","HVN","Consumer Discretionary Distribution & Retail"
"HASTINGS TECHNOLOGY METALS LTD","HAS","Materials"
"HAVILAH RESOURCES LIMITED","HAV","Materials"
"HAWK RESOURCES LIMITED.","HWK","Materials"
"HAWSONS IRON LTD","HIO","Materials"
"HAWTHORN RESOURCES LIMITED","HAW","Materials"
"HAZER GROUP LIMITED","HZR","Materials"
"HEALIUS LIMITED","HLS","Health Care Equipment & Services"
"HEALTHCO HEALTHCARE AND WELLNESS REIT","HCW","Equity Real Estate Investment Trusts (REITs)"
"HEARTLAND GROUP HOLDINGS LIMITED","HGH","Banks"
"HEARTS AND MINDS INVESTMENTS LIMITED","HM1","Not Applic"
"HEAVY MINERALS LIMITED","HVY","Materials"
"HEAVY RARE EARTHS LIMITED","HRE","Materials"
"HELIA GROUP LIMITED","HLI","Financial Services"
"HELIOS ENERGY LTD","HE8","Energy"
"HELIX RESOURCES LIMITED","HLX","Materials"
"HELLOWORLD TRAVEL LIMITED","HLO","Consumer Services"
"HERAMED LIMITED","HMD","Health Care Equipment & Services"
"HEXIMA LIMITED.","HXL","Pharmaceuticals, Biotechnology & Life Sciences"
"HIGH PEAK ROYALTIES LIMITED","HPR","Energy"
"HIGH-TECH METALS LTD","HTM","Materials"
"HIGHCOM LIMITED","HCL","Capital Goods"
"HIGHFIELD RESOURCES LIMITED","HFR","Materials"
"HILLGROVE RESOURCES LIMITED","HGO","Materials"
"HIPAGES GROUP HOLDINGS LTD","HPG","Media & Entertainment"
"HIREMII LIMITED","HMI","Commercial & Professional Services"
"HITECH GROUP AUSTRALIA LIMITED","HIT","Commercial & Professional Services"
"HITIQ LIMITED","HIQ","Health Care Equipment & Services"
"HMC CAPITAL LIMITED","HMC","Financial Services"
"HOLISTA COLLTECH LIMITED","HCT","Household & Personal Products"
"HOMECO DAILY NEEDS REIT","HDN","Equity Real Estate Investment Trusts (REITs)"
"HORIZON GOLD LIMITED","HRN","Materials"
"HORIZON MINERALS LIMITED","HRZ","Materials"
"HORIZON OIL LIMITED","HZN","Energy"
"HORSESHOE METALS LIMITED","HOR","Materials"
"HOT CHILI LIMITED","HCH","Materials"
"HOUSEHOLD CAPITAL 2025-1 RMBS TRUST","HC1","Not Applic"
"HUB24 LIMITED","HUB","Financial Services"
"HUBIFY LIMITED","HFY","Telecommunication Services"
"HUMM GROUP LIMITED","HUM","Financial Services"
"HYDRIX LIMITED","HYD","Technology Hardware & Equipment"
"HYDROCARBON DYNAMICS LIMITED","HCD","Energy"
"HYTERRA LTD","HYT","Energy"
"I SYNERGY GROUP LIMITED","IS3","Software & Services"
"IBERDROLA FINANZAS, S.A.U.","IF1","Not Applic"
"ICANDY INTERACTIVE LIMITED","ICI","Media & Entertainment"
"ICENI GOLD LIMITED","ICL","Materials"
"ICETANA LIMITED","ICE","Software & Services"
"IDENTITII LIMITED","ID8","Software & Services"
"IDP EDUCATION LIMITED","IEL","Consumer Services"
"IDT AUSTRALIA LIMITED","IDT","Pharmaceuticals, Biotechnology & Life Sciences"
"IGNITE LIMITED","IGN","Commercial & Professional Services"
"IGO LIMITED","IGO","Materials"
"IKEGPS GROUP LIMITED","IKE","Technology Hardware & Equipment"
"ILTANI RESOURCES LIMITED.","ILT","Materials"
"ILUKA RESOURCES LIMITED","ILU","Materials"
"IMAGE RESOURCES NL","IMA","Materials"
"IMAGION BIOSYSTEMS LIMITED","IBX","Health Care Equipment & Services"
"IMDEX LIMITED","IMD","Materials"
"IMEXHS LIMITED","IME","Health Care Equipment & Services"
"IMMURON LIMITED","IMC","Pharmaceuticals, Biotechnology & Life Sciences"
"IMMUTEP LIMITED","IMM","Pharmaceuticals, Biotechnology & Life Sciences"
"IMPACT MINERALS LIMITED","IPT","Materials"
"IMPEDIMED LIMITED","IPD","Health Care Equipment & Services"
"IMPERIAL PACIFIC LIMITED","IPC","Financial Services"
"IMRICOR MEDICAL SYSTEMS INC.","IMR","Health Care Equipment & Services"
"IMUGENE LIMITED","IMU","Pharmaceuticals, Biotechnology & Life Sciences"
"INCOME ASSET MANAGEMENT GROUP LIMITED.","IAM","Financial Services"
"INDIANA RESOURCES LIMITED","IDA","Materials"
"INDUSTRIAL BANK OF KOREA.","IBK","Not Applic"
"INDUSTRIAL MINERALS LTD","IND","Materials"
"INFINI RESOURCES LIMITED","I88","Materials"
"INFINITY METALS LIMITED","INF","Materials"
"INFINITY MINING LIMITED","IMI","Materials"
"INFOCUS GROUP HOLDINGS LIMITED","IFG","Software & Services"
"INFOTRUST LTD","ITS","Software & Services"
"INFRAGREEN GROUP LIMITED","IFN","Commercial & Professional Services"
"INFRATIL LIMITED.","IFT","Capital Goods"
"INGENIA COMMUNITIES GROUP","INA","Equity Real Estate Investment Trusts (REITs)"
"INGHAMS GROUP LIMITED","ING","Food, Beverage & Tobacco"
"INOVIQ LTD","IIQ","Health Care Equipment & Services"
"INSIGNIA FINANCIAL LTD","IFL","Financial Services"
"INSURANCE AUSTRALIA GROUP LIMITED","IAG","Insurance"
"INTEGRAL DIAGNOSTICS LIMITED","IDX","Health Care Equipment & Services"
"INTEGRATED RESEARCH LIMITED","IRI","Software & Services"
"INTELICARE HOLDINGS LIMITED","ICR","Health Care Equipment & Services"
"INTELLIGENT MONITORING GROUP LIMITED","IMB","Commercial & Professional Services"
"INTERNATIONAL EQUITIES CORPORATION LIMITED.","IEQ","Real Estate Management & Development"
"INTERNATIONAL FINANCE CORPORATION","IFX","Not Applic"
"INTERNATIONAL GRAPHITE LIMITED","IG6","Capital Goods"
"INVERT GRAPHITE LIMITED","IVG","Pharmaceuticals, Biotechnology & Life Sciences"
"INVESTIGATOR SILVER LIMITED","IVR","Materials"
"INVESTOR CENTRE LIMITED","ICU","Financial Services"
"INVESTSMART GROUP LIMITED","INV","Financial Services"
"INVEX THERAPEUTICS LTD","IXC","Pharmaceuticals, Biotechnology & Life Sciences"
"INVICTUS ENERGY LTD","IVZ","Energy"
"INVION LIMITED","IVX","Pharmaceuticals, Biotechnology & Life Sciences"
"IODM LIMITED","IOD","Software & Services"
"ION VIDEO LTD","IOV","Software & Services"
"IONDRIVE LIMITED","ION","Materials"
"IONEER LTD","INR","Materials"
"IONIC RARE EARTHS LIMITED","IXR","Materials"
"IPD GROUP LTD","IPG","Capital Goods"
"IPERIONX LIMITED","IPX","Materials"
"IPH LIMITED","IPH","Commercial & Professional Services"
"IRESS LIMITED","IRE","Software & Services"
"IRIS METALS LIMITED","IR1","Materials"
"IRON BEAR RESOURCES LTD","IBR","Materials"
"IRON ROAD LIMITED","IRD","Materials"
"IRONBARK BALANCED INCOME LIMITED","IBC","Not Applic"
"ISLAND PHARMACEUTICALS LIMITED","ILA","Pharmaceuticals, Biotechnology & Life Sciences"
"ITECH MINERALS LTD","ITM","Materials"
"IVE GROUP LIMITED","IGL","Media & Entertainment"
"JADE GAS HOLDINGS LIMITED","JGH","Materials"
"JAMES HARDIE INDUSTRIES PLC","JHX","Materials"
"JAMESON RESOURCES LIMITED","JAL","Materials"
"JANISON EDUCATION GROUP LIMITED","JAN","Software & Services"
"JANUS ELECTRIC HOLDINGS LIMITED","JNS","Utilities"
"JATCORP LIMITED","JAT","Consumer Discretionary Distribution & Retail"
"JAVELIN MINERALS LIMITED","JAV","Materials"
"JAYRIDE GROUP LIMITED","JAY","Transportation"
"JB HI-FI LIMITED","JBH","Consumer Discretionary Distribution & Retail"
"JCURVE SOLUTIONS LTD","JCS","Software & Services"
"JINDALEE LITHIUM LIMITED","JLL","Materials"
"JOYCE CORPORATION LTD","JYC","Consumer Discretionary Distribution & Retail"
"JUDO CAPITAL HOLDINGS LIMITED","JDO","Banks"
"JUMBO INTERACTIVE LIMITED","JIN","Consumer Services"
"JUNO MINERALS LIMITED","JNO","Materials"
"JUPITER ENERGY LIMITED","JPR","Energy"
"JUPITER MINES LIMITED.","JMS","Materials"
"K & S CORPORATION LIMITED","KSC","Transportation"
"K2 ASSET MANAGEMENT HOLDINGS LTD","KAM","Financial Services"
"KAILI RESOURCES LIMITED","KLR","Energy"
"KAIROS MINERALS LIMITED","KAI","Materials"
"KAISER REEF LIMITED","KAU","Materials"
"KALAMAZOO RESOURCES LIMITED","KZR","Materials"
"KALGOORLIE GOLD MINING LIMITED","KAL","Materials"
"KALI METALS LIMITED","KM1","Materials"
"KALINA POWER LIMITED","KPO","Utilities"
"KAOKO METALS LIMITED","KAO","Class Pend"
"KAPSTREAM INVESTMENT TRUST","KIT","Class Pend"
"KAROON ENERGY LTD","KAR","Energy"
"KATANA CAPITAL LIMITED","KAT","Not Applic"
"KELLY PARTNERS GROUP HOLDINGS LIMITED","KPG","Commercial & Professional Services"
"KELSIAN GROUP LIMITED","KLS","Transportation"
"KEY PETROLEUM LIMITED","KEY","Energy"
"KEYBRIDGE CAPITAL LIMITED","KBC","Financial Services"
"KFW","KFW","Not Applic"
"KGL RESOURCES LIMITED","KGL","Materials"
"KILLI RESOURCES LIMITED","KLI","Materials"
"KINA SECURITIES LIMITED","KSL","Banks"
"KINATICO LTD","KYP","Software & Services"
"KINCORA COPPER LIMITED","KCC","Materials"
"KINETIKO ENERGY LTD","KKO","Energy"
"KING RIVER RESOURCES LIMITED","KRR","Materials"
"KINGFISHER MINING LTD","KFM","Materials"
"KINGFISHER TRUST 2016-1","KIG","Not Applic"
"KINGFISHER TRUST 2019-1","KI1","Not Applic"
"KINGSGATE CONSOLIDATED LIMITED.","KCN","Materials"
"KINGSLAND MINERALS LTD","KNG","Materials"
"KINGSROSE MINING LIMITED","KRM","Materials"
"KINGSTON RESOURCES LIMITED","KSN","Materials"
"KIP MCGRATH EDUCATION CENTRES LIMITED","KME","Consumer Services"
"KKR CREDIT INCOME FUND","KKC","Not Applic"
"KLEVO REWARDS LIMITED","KLV","Commercial & Professional Services"
"KMD BRANDS LIMITED","KMD","Consumer Discretionary Distribution & Retail"
"KNEOMEDIA LIMITED","KNM","Media & Entertainment"
"KNOSYS LIMITED","KNO","Software & Services"
"KOBA RESOURCES LIMITED","KOB","Materials"
"KOGAN.COM LTD","KGN","Consumer Discretionary Distribution & Retail"
"KOONENBERRY GOLD LIMITED","KNB","Materials"
"KORAB RESOURCES LIMITED","KOR","Materials"
"KORE POTASH PLC","KP2","Materials"
"KORVEST LTD","KOV","Capital Goods"
"KRAKATOA RESOURCES LIMITED","KTA","Materials"
"KUNIKO LIMITED","KNI","Materials"
"L1 GLOBAL LONG SHORT FUND LIMITED","GLS","Not Applic"
"L1 GROUP LIMITED","L1G","Financial Services"
"L1 LONG SHORT FUND LIMITED","LSF","Not Applic"
"LA TROBE FINANCIAL CAPITAL MARKETS TRUST 2022-2","LT9","Not Applic"
"LA TROBE FINANCIAL CAPITAL MARKETS TRUST 2023-1","LR1","Not Applic"
"LA TROBE FINANCIAL CAPITAL MARKETS TRUST 2023-2","LR4","Not Applic"
"LA TROBE FINANCIAL CAPITAL MARKETS TRUST 2024-1","LR3","Not Applic"
"LA TROBE FINANCIAL CAPITAL MARKETS TRUST 2024-2","LR5","Not Applic"
"LA TROBE FINANCIAL CAPITAL MARKETS TRUST 2024-3","LR6","Not Applic"
"LA TROBE PRIVATE CREDIT FUND","LF1","Not Applic"
"LACHLAN STAR LIMITED","LSA","Materials"
"LAKE RESOURCES N.L.","LKE","Materials"
"LAKES BLUE ENERGY NL","LKO","Energy"
"LARAMIDE RESOURCES LTD","LAM","Energy"
"LARK DISTILLING CO. LTD","LRK","Food, Beverage & Tobacco"
"LARVOTTO RESOURCES LIMITED","LRV","Materials"
"LASERBOND LIMITED","LBL","Capital Goods"
"LATITUDE 66 LIMITED","LAT","Materials"
"LATITUDE AUSTRALIA CREDIT CARD LOAN NOTE TRUST","LCN","Not Applic"
"LATITUDE GROUP HOLDINGS LIMITED","LFS","Financial Services"
"LATROBE MAGNESIUM LIMITED","LMG","Materials"
"LCL RESOURCES LIMITED","LCL","Materials"
"LDR CAPITAL PROPERTY FUND","LED","Equity Real Estate Investment Trusts (REITs)"
"LEEUWIN METALS LTD","LM1","Materials"
"LEFROY EXPLORATION LIMITED","LEX","Materials"
"LEGACY IRON ORE LIMITED","LCY","Materials"
"LEGACY MINERALS HOLDINGS LIMITED","LGM","Materials"
"LEGEND MINING LIMITED","LEG","Materials"
"LENDLEASE GROUP","LLC","Real Estate Management & Development"
"LGI LIMITED","LGI","Utilities"
"LI-S ENERGY LIMITED","LIS","Capital Goods"
"LIBERTY FINANCIAL GROUP","LFG","Financial Services"
"LIBERTY METALS LTD","LIB","Materials"
"LIBERTY PRIME SERIES 2021-1","LP1","Not Applic"
"LIFE360 INC.","360","Software & Services"
"LIFESTYLE COMMUNITIES LIMITED","LIC","Real Estate Management & Development"
"LIGHT & WONDER INC.","LNW","Consumer Services"
"LIGHTNING MINERALS LTD","L1M","Materials"
"LINCOLN MINERALS LIMITED","LML","Materials"
"LINDIAN RESOURCES LIMITED","LIN","Materials"
"LINDSAY AUSTRALIA LIMITED","LAU","Transportation"
"LINQ MINERALS LIMITED","LNQ","Materials"
"LION ENERGY LIMITED","LIO","Energy"
"LION ROCK MINERALS LTD","LRM","Materials"
"LION SELECTION GROUP LIMITED.","LSX","Not Applic"
"LION SERIES 2020-1 TRUST","LI8","Not Applic"
"LION SERIES 2022-1 TRUST","LN1","Not Applic"
"LION SERIES 2023-1 TRUST","LN2","Not Applic"
"LION SERIES 2024-1 TRUST","LN3","Not Applic"
"LIONTOWN LIMITED","LTR","Materials"
"LITCHFIELD MINERALS LIMITED","LMS","Materials"
"LITHIUM ENERGY LIMITED","LEL","Materials"
"LITHIUM PLUS MINERALS LTD.","LPM","Materials"
"LITHIUM UNIVERSE LIMITED","LU7","Materials"
"LITTLE GREEN PHARMA LTD","LGP","Pharmaceuticals, Biotechnology & Life Sciences"
"LIVIUM LTD","LIT","Materials"
"LLOYDS BANKING GROUP PLC","LO1","Not Applic"
"LOCALITY PLANNING ENERGY HOLDINGS LIMITED","LPE","Utilities"
"LOCKSLEY RESOURCES LIMITED","LKY","Materials"
"LODE RESOURCES LTD","LDR","Materials"
"LODESTAR MINERALS LIMITED","LSR","Materials"
"LONDON CITY EQUITIES LIMITED","LCE","Financial Services"
"LORD RESOURCES LIMITED","LRD","Materials"
"LOTUS RESOURCES LIMITED","LOT","Materials"
"LOVE GROUP GLOBAL LTD","LVE","Software & Services"
"LOVISA HOLDINGS LIMITED","LOV","Consumer Discretionary Distribution & Retail"
"LOWELL RESOURCES FUND","LRT","Not Applic"
"LOYAL METALS LTD","LLM","Materials"
"LTR PHARMA LIMITED","LTP","Pharmaceuticals, Biotechnology & Life Sciences"
"LUMOS DIAGNOSTICS HOLDINGS LIMITED","LDX","Health Care Equipment & Services"
"LUNNON METALS LIMITED","LM8","Materials"
"LYCOPODIUM LIMITED","LYL","Capital Goods"
"LYNAS RARE EARTHS LIMITED","LYC","Materials"
"M3 MINING LIMITED","M3M","Materials"
"MA CREDIT INCOME TRUST","MA1","Not Applic"
"MA CREDIT PORTFOLIO HOLDINGS LIMITED","MA2","Not Applic"
"MA FINANCIAL GROUP LIMITED","MAF","Financial Services"
"MA MONEY RESIDENTIAL SECURITISATION TRUST 2025-1","ML2","Not Applic"
"MAAS GROUP HOLDINGS LIMITED","MGH","Capital Goods"
"MACALLUM NEW ENERGY LIMITED","MNE","Energy"
"MACARTHUR MINERALS LIMITED","MIO","Materials"
"MACH7 TECHNOLOGIES LIMITED","M7T","Health Care Equipment & Services"
"MACMAHON HOLDINGS LIMITED","MAH","Materials"
"MACQUARIE BANK LIMITED","MBL","Not Applic"
"MACQUARIE GROUP LIMITED","MQG","Financial Services"
"MACQUARIE TECHNOLOGY GROUP LIMITED","MAQ","Software & Services"
"MACRO METALS LIMITED","M4M","Materials"
"MADER GROUP LIMITED","MAD","Commercial & Professional Services"
"MAGELLAN FINANCIAL GROUP LIMITED","MFG","Financial Services"
"MAGGIE BEER HOLDINGS LTD","MBH","Food, Beverage & Tobacco"
"MAGMATIC RESOURCES LIMITED","MAG","Materials"
"MAGNETIC RESOURCES NL","MAU","Materials"
"MAGNETITE MINES LIMITED.","MGT","Materials"
"MAGNUM MINING AND EXPLORATION LIMITED","MGU","Materials"
"MAGONTEC LIMITED","MGL","Materials"
"MAMBA EXPLORATION LIMITED","M24","Materials"
"MAMMOTH MINERALS LIMITED","M79","Materials"
"MANDRAKE RESOURCES LIMITED","MAN","Materials"
"MANHATTAN GOLD CORPORATION LIMITED","MHC","Energy"
"MANTLE MINERALS LIMITED","MTL","Materials"
"MANUKA RESOURCES LTD.","MKR","Materials"
"MANY PEAKS MINERALS LTD","MPK","Materials"
"MARIMACA COPPER CORP.","MC2","Materials"
"MARMOTA LIMITED","MEU","Energy"
"MARONAN METALS LIMITED","MMA","Materials"
"MARQUEE RESOURCES LIMITED","MQR","Materials"
"MARVEL GOLD LIMITED","MVL","Materials"
"MASTERMYNE GROUP LIMITED","MYE","Materials"
"MATRIX COMPOSITES & ENGINEERING LIMITED","MCE","Energy"
"MATSA RESOURCES LIMITED","MAT","Materials"
"MAXIPARTS LIMITED","MXI","Capital Goods"
"MAYFIELD CHILDCARE LIMITED","MFD","Consumer Services"
"MAYFIELD GROUP HOLDINGS LIMITED","MYG","Capital Goods"
